object_name,period_start,period_end,possible_impacts,cumulative_impact_probability,asteroid_velocity,asteroid_magnitude,asteroid_diameter_km,cumulative_palermo_scale,maximum_palermo_scale,maximum_torino_scale,eccentricity,semi_major_axis,perihelion_distance,inclination_angle_with_respect_to_x_y_ecliptic_plane,longitude_of_the_ascending_node,argument_of_perihelion,mean_anomaly,time_of_perihelion_passage,sidereal_orbital_period,mean_motion,aphelion_distance
2011 CF66,2018,2114,808,1.5e-5,12.52,27.8,0.01,-6.04,-7.18,0,0.311,1.02,0.702,0.957,340,274,286,2455682.904,375,0.959,1.33
2016 AZ193,2018,2114,398,2.3e-6,6.73,26.6,0.016,-6.27,-7.16,0,0.228,0.935,0.721,0.384,129,201,108,2457291.141,330,1.09,1.15
2016 JO38,2018,2115,466,9.6e-7,7.41,24.8,0.037,-5.61,-6.27,0,0.345,1.43,0.937,1.7,4.77,312,305,2457605.979,624,0.577,1.92
2014 HD198,2018,2115,78,8.1e-6,17.54,29.6,0.004,-6.46,-6.58,0,0.643,2.11,0.755,0.982,220,69.1,344,2456822.425,1120,0.321,3.47
2006 QV89,2019,2041,12,7.6e-5,5.16,25.3,0.03,-3.35,-3.35,0,0.225,1.19,0.925,1.07,166,237,349,2460215.694,476,0.756,1.46
2008 VB4,2019,2103,22,1.5e-7,11.84,28.3,0.007,-7.72,-8.03,0,0.619,2.36,0.9,0.057,189,171,8.65,2454744.66,1320,0.272,3.82
2008 UV99,2019,2111,32,1.6e-7,15.6,19.6,0.399,-3.44,-3.55,0,0.318,1.38,0.944,10.4,323,161,357,2460204.751,595,0.605,1.82
2010 DJ77,2019,2113,53,6.2e-8,17.04,21.1,0.2,-4.45,-5.24,0,0.211,0.955,0.753,24.7,287,104,305,2460252.729,341,1.06,1.16
2014 ML67,2019,2113,33,7e-7,21.18,24.2,0.05,-4.98,-5.21,0,0.719,2.3,0.649,1.84,303,59,346,2456889.463,1280,0.282,3.96
2004 ME6,2019,2113,51,1.6e-7,11.77,22.6,0.1,-5.41,-6.06,0,0.583,2.41,1.01,9.54,112,210,347,2453233.702,1370,0.264,3.81
2007 FT3,2019,2114,138,1.1e-6,17.05,20,0.34,-3.08,-3.67,0,0.308,1.13,0.782,26.9,9.89,277,298,2454256.08,439,0.821,1.48
2014 MA68,2019,2115,454,2e-5,4.95,25.9,0.022,-5.16,-6.03,0,0.354,1.54,0.993,1.47,58.9,179,320,2460278.502,695,0.518,2.08
2016 RP41,2019,2115,62,4.1e-8,8.46,22.5,0.11,-5.65,-6.15,0,0.331,1.93,1.29,4.27,319,44.2,356,2457656.504,978,0.368,2.57
2012 BL14,2019,2115,520,1.7e-5,19.82,28.2,0.008,-5.71,-6.14,0,0.654,1.73,0.597,6.84,120,270,21.1,2455898.963,828,0.435,2.85
2014 HN198,2019,2115,170,1.2e-7,9.65,25.7,0.024,-7.01,-7.77,0,0.577,2.06,0.87,2.59,305,201,20.1,2456717.378,1080,0.334,3.25
2016 NL56,2019,2116,225,1.3e-6,13.07,21.4,0.188,-3.04,-3.37,0,0.545,1.41,0.64,4.6,341,87.4,34.5,2460142.085,609,0.591,2.17
2001 YN2,2020,2020,1,1.4e-9,18.49,24.9,0.035,-7.65,-7.65,0,0.715,2.51,0.714,1.63,82.6,290,12.7,2452217.293,1450,0.248,4.3
2001 UO,2020,2020,1,6.2e-10,16.28,24.1,0.051,-7.65,-7.65,0,0.674,2.55,0.832,10.1,24.1,300,10.3,2452157.134,1480,0.242,4.26
2008 VM,2020,2031,3,3.6e-5,10.26,30.2,0.003,-6.49,-6.49,0,0.393,1.33,0.81,4.09,42,69.2,327,2454824.703,563,0.639,1.86
2001 CA21,2020,2077,6,6.5e-9,30.68,18.5,0.679,-3.98,-4.25,0,0.775,1.66,0.374,4.96,46.7,219,336,2451995.14,783,0.459,2.95
2016 JP38,2020,2087,28,1.8e-8,10.02,24.4,0.044,-6.74,-7.08,0,0.298,1.79,1.26,1.64,244,325,0.688,2457495.827,876,0.411,2.32
2008 YD3,2020,2104,45,1.9e-7,8.46,26,0.021,-7.07,-7.55,0,0.541,2.27,1.04,0.303,134,316,0.807,2454819.704,1250,0.289,3.5
2010 UJ,2020,2108,103,6.1e-6,2.84,26.2,0.019,-5.74,-6.16,0,0.0989,0.94,0.847,0.354,127,77.2,181,2455652.674,333,1.08,1.03
2010 AU118,2020,2112,38,1.8e-8,25.22,16.2,1.9,-2.73,-3.16,0,0.429,2.35,1.34,42.7,46,11.4,50,2455029.348,1310,0.274,3.35
2009 TB,2020,2112,35,7.1e-6,10.84,29.2,0.005,-6.35,-6.91,0,0.66,2.56,0.871,8.2,7.99,312,8.27,2455072.054,1500,0.24,4.26
2016 WN55,2020,2113,48,4.8e-6,0.34,25.6,0.028,-4.06,-4.33,0,0.017,0.983,0.967,0.495,330,195,254,2457816.206,356,1.01,1
2012 BK14,2020,2113,663,4.9e-5,3.67,28,0.009,-5.81,-6.88,0,0.188,0.981,0.796,1.48,119,254,86.5,2455862.3,355,1.01,1.17
2012 TC4,2020,2114,79,8.5e-5,6.51,26.7,0.015,-4.74,-5.81,0,0.404,1.62,0.966,0.535,19.7,26.5,302,2460321.42,753,0.478,2.27
2007 YM,2020,2114,239,4.4e-6,7.69,26.3,0.019,-5.91,-6.91,0,0.617,2.59,0.989,0.992,59.7,11.2,2.62,2454440.458,1520,0.237,4.18
2015 HQ182,2020,2114,216,1.6e-7,6.9,24.9,0.035,-6.65,-7.29,0,0.23,1.14,0.877,4.85,233,134,179,2459979.694,444,0.811,1.4
2010 XN69,2020,2115,147,7.3e-5,6.63,26.3,0.019,-4.89,-6.01,0,0.5,1.91,0.956,2,99.2,21.6,348,2455577.474,965,0.373,2.87
2015 YV20,2020,2115,130,2.6e-7,5.94,22.4,0.113,-5.21,-5.81,0,0.24,1.26,0.954,7.92,49,137,111,2460042.229,514,0.701,1.56
2010 LJ68,2020,2115,39,3.5e-7,9.69,22.9,0.089,-5.37,-6.07,0,0.453,1.77,0.967,17.1,164,37,19.7,2455315.477,859,0.419,2.57
2015 HO182,2020,2115,49,4.8e-8,9.63,27,0.013,-8.06,-8.71,0,0.617,2.66,1.02,1.65,315,207,9.63,2457090.063,1590,0.227,4.31
2017 AA21,2020,2116,210,4.3e-6,7.71,26,0.021,-5.54,-5.85,0,0.478,1.92,1,2.33,331,174,346,2457794.478,973,0.37,2.84
2016 VA18,2020,2116,521,3.8e-6,7.47,28.3,0.007,-6.78,-7.38,0,0.307,1.13,0.786,4.51,39.2,278,52.4,2457634.316,441,0.816,1.48
2016 QY84,2020,2116,703,3.6e-5,3.15,31.6,0.002,-7.41,-8.32,0,0.155,1.16,0.982,1.94,162,128,33.9,2457586.419,458,0.786,1.34
2017 AE21,2020,2117,90,3.2e-6,4.97,25,0.034,-4.87,-5.42,0,0.179,1.1,0.903,3.06,247,125,75.9,2457668.683,421,0.855,1.3
2017 AY20,2021,2021,1,1.5e-10,19.78,20.1,0.33,-6.22,-6.22,0,0.334,1.86,1.24,17.6,341,214,303,2457904.951,927,0.388,2.48
2008 UM1,2021,2079,5,5e-7,19.03,31.6,0.002,-8.39,-8.41,0,0.683,2.34,0.742,5.29,209,112,11.5,2454719.656,1310,0.276,3.93
2010 CA55,2021,2087,6,6.3e-8,24.03,22,0.14,-4.64,-4.73,0,0.713,2.34,0.671,55,107,303,18.7,2455177.644,1310,0.276,4
2010 XQ,2021,2112,60,1.9e-7,9.82,25.2,0.031,-6.71,-7.31,0,0.629,2.72,1.01,7.2,73.4,12.4,357,2455546.059,1640,0.22,4.42
2015 HM182,2021,2112,81,1e-7,7.25,29,0.005,-8.88,-9.47,0,0.208,1.19,0.945,2.76,221,278,48.6,2457067.32,476,0.757,1.44
2006 CD,2021,2113,56,1.9e-8,11.19,21,0.214,-5.4,-6.34,0,0.457,2.01,1.09,9.09,105,303,24.8,2453696.764,1040,0.345,2.93
2016 PR66,2021,2113,26,2e-8,9.88,23.3,0.073,-6.45,-6.67,0,0.462,2.21,1.19,5.42,196,69.7,16.6,2457551.251,1200,0.3,3.23
2011 CW46,2021,2113,14,9e-9,16.62,24.7,0.039,-7.51,-7.9,0,0.156,1.05,0.885,30.4,322,77.2,84.6,2455512.264,393,0.917,1.21
2015 MC131,2021,2114,30,5.9e-7,4.53,25.1,0.033,-6.27,-6.5,0,0.41,1.54,0.906,1.09,87.3,257,328,2457257.481,696,0.517,2.17
2014 JV79,2021,2114,164,2.9e-7,11.17,25.2,0.031,-6.29,-7.12,0,0.136,1.08,0.933,16.4,233,114,254,2456904.326,410,0.878,1.23
2010 XP,2021,2114,63,9e-8,8.96,26.7,0.016,-7.63,-8.03,0,0.523,2.2,1.05,1.15,82.4,353,358,2455538.263,1190,0.302,3.35
2010 HP20,2021,2115,564,4.1e-5,7.66,28.2,0.008,-5.98,-7.46,0,0.535,2,0.927,7.72,209,321,10.8,2455275.533,1030,0.349,3.07
2016 JG38,2021,2115,119,6.2e-8,17.18,24.2,0.05,-6.42,-7.39,0,0.455,1.6,0.87,3.71,29.6,288,189,2460549.65,736,0.489,2.32
2009 JF1,2022,2022,1,2.4e-4,23.92,27.1,0.013,-3.43,-3.43,0,0.738,1.89,0.496,6.16,45.5,281,166,2459762.614,952,0.378,3.29
2010 CA,2022,2022,1,2.5e-9,14.7,24.4,0.044,-7.32,-7.32,0,0.46,1.32,0.712,9.9,135,93.2,313,2460273.023,553,0.651,1.92
2014 NJ65,2022,2041,4,7.3e-10,8.57,19.3,0.461,-5.82,-5.95,0,0.27,1.97,1.44,17.9,291,260,201,2460644.546,1010,0.357,2.5
2007 SN6,2022,2059,2,6e-8,18.34,25,0.033,-6.88,-7,0,0.69,2.36,0.73,4.76,357,286,13.7,2454317.156,1320,0.273,3.98
2015 BS516,2022,2103,30,2e-8,13.04,19.9,0.36,-4.81,-5.22,0,0.496,2.58,1.3,25.6,1.66,97.2,59.6,2459950.575,1510,0.239,3.85
2009 FG,2022,2103,31,8e-6,9.12,25.5,0.027,-5.47,-5.91,0,0.531,1.97,0.925,0.0344,42.6,82,16.6,2454865.984,1010,0.356,3.02
2011 KF36,2022,2106,8,1.2e-9,22.32,20.4,0.28,-5.9,-6.46,0,0.65,2.12,0.743,25.7,214,80.1,343,2455765.87,1130,0.319,3.5
2003 UM3,2022,2112,82,1.6e-6,13.82,28.1,0.008,-7.16,-7.94,0,0.441,1.37,0.767,1.52,17.7,285,35.6,2452872.408,587,0.613,1.98
2007 KO4,2022,2114,248,4.2e-6,13.71,23.3,0.075,-4.43,-5.14,0,0.162,1.1,0.925,25.2,61.2,299,254,2454369.222,423,0.851,1.28
2010 VO139,2022,2114,192,1.6e-6,20.58,26.6,0.016,-6.22,-7.37,0,0.702,2.06,0.615,7.69,231,91.2,16.5,2455464.886,1080,0.333,3.5
2009 JE1,2022,2114,10,7.3e-8,6.03,27.2,0.012,-8.23,-8.62,0,0.297,1.37,0.965,8.1,46.2,223,335,2454995.896,588,0.612,1.78
2006 GU2,2022,2115,61,1.7e-5,7.3,27.8,0.009,-6.44,-7.09,0,0.256,1.08,0.803,3.38,197,266,256,2460318.694,410,0.879,1.36
2014 HJ198,2022,2115,114,6.4e-7,21.89,26.8,0.015,-6.8,-7.7,0,0.742,2.15,0.556,6.06,215,263,16.1,2456721.877,1160,0.312,3.75
2017 AR20,2023,2023,1,1.3e-10,18.52,21.3,0.19,-7.02,-7.02,0,0.518,3.11,1.5,16.1,174,267,3.35,2457743.907,2000,0.18,4.72
2008 TE,2023,2047,3,5.1e-5,11.84,27.7,0.01,-4.79,-4.79,0,0.451,1.52,0.831,0.305,1.16,297,28.5,2454688.455,682,0.528,2.2
2011 DX4,2023,2108,22,5.1e-8,17.65,26.5,0.017,-7.75,-8.15,0,0.66,1.97,0.67,1.04,324,107,17.9,2455567.335,1010,0.356,3.27
2010 DG77,2023,2111,144,1.5e-6,2.39,24.5,0.044,-5.54,-6.23,0,0.65,2.74,0.959,16.7,290,196,5.05,2455223.218,1660,0.217,4.52
2007 VD8,2023,2112,53,3.8e-7,12.62,27.7,0.01,-7.61,-8.39,0,0.594,2.3,0.933,3.15,43.6,319,8.75,2454378.597,1270,0.283,3.66
2016 LP10,2023,2115,32,1.1e-4,15.59,29.5,0.004,-5.55,-5.66,0,0.622,2.08,0.787,0.669,79.3,245,345,2457592.941,1100,0.328,3.38
1991 BA,2023,2115,46,1.1e-5,17.23,28.7,0.006,-6.03,-6.14,0,0.673,2.19,0.715,1.94,119,70.7,347,2448317.754,1180,0.304,3.66
2011 BH40,2023,2115,63,1.3e-7,5.31,25.1,0.032,-6.8,-7.47,0,0.548,1.41,0.637,5.54,118,112,321,2455655.345,612,0.589,2.18
2012 CS46,2023,2115,81,1.2e-7,6.26,27.8,0.009,-8.18,-8.86,0,0.278,1.27,0.914,0.492,218,349,7.18,2460190.126,520,0.692,1.62
2005 WN3,2024,2024,1,1.1e-9,18.17,29.9,0.004,-10.34,-10.3,0,0.726,2.49,0.682,0.484,243,256,349,2453742.951,1430,0.251,4.29
2005 BS1,2024,2041,3,5.1e-7,12.36,27.3,0.012,-6.85,-7.05,0,0.568,1.97,0.851,2.65,114,308,14.4,2453347.93,1010,0.356,3.09
2016 NP56,2024,2068,8,5.1e-6,2.14,26.2,0.019,-6.05,-6.11,0,0.0475,1.03,0.986,4.54,118,273,261,2457684.248,385,0.936,1.08
2015 FA345,2024,2102,23,1.5e-7,9.5,24.1,0.052,-6.19,-6.44,0,0.581,2.36,0.99,4.7,358,157,7.21,2457077.937,1330,0.271,3.74
2017 AB21,2024,2110,25,5.6e-9,10.69,20.7,0.243,-5.8,-6.42,0,0.802,3.21,0.637,12.9,42.6,301,22.5,2457625.754,2100,0.171,5.79
2015 KA158,2024,2113,41,3.3e-8,14,26.6,0.016,-7.89,-8.55,0,0.554,2.03,0.907,2.52,251,282,18.9,2457108.973,1060,0.34,3.16
2010 KJ37,2024,2114,47,1.9e-7,6.61,23.9,0.055,-5.89,-6.07,0,0.0895,1.13,1.03,10.8,236,86.7,331,2460236.26,437,0.824,1.23
2016 JL38,2024,2115,110,5.7e-7,2.88,26.2,0.02,-6.71,-7.42,0,0.296,1.04,0.732,4.66,220,237,74.1,2460120.888,387,0.93,1.35
2012 CR,2025,2025,1,1.5e-10,14.21,21,0.21,-7.12,-7.12,0,0.385,1.78,1.1,2.19,157,33.9,341,2456005.347,870,0.414,2.47
2009 VA,2025,2048,16,2.2e-5,8.24,28.6,0.006,-5.81,-5.84,0,0.357,1.43,0.918,7.54,225,224,339,2455177.949,623,0.578,1.94
2012 BA77,2025,2088,23,3.6e-5,12.72,25.8,0.023,-4.61,-5.13,0,0.632,2.36,0.869,1.18,197,228,12.1,2455906.939,1320,0.272,3.85
2011 FA23,2025,2102,6,4.1e-6,14.34,28.9,0.006,-7.21,-7.33,0,0.591,2.05,0.839,2.16,191,55.6,347,2455691.536,1070,0.336,3.26
2014 HM199,2025,2104,2,4.9e-10,10.54,23.7,0.063,-8.15,-8.18,0,0.408,2.04,1.21,4.58,15,174,14.6,2456737.345,1060,0.339,2.87
2010 LF64,2025,2105,6,6.7e-9,5.12,23,0.086,-7.08,-7.23,0,0.641,3.76,1.35,29.1,9.29,214,360,2455353.155,2660,0.135,6.17
2011 AD3,2025,2115,65,1.8e-7,12.5,26.5,0.017,-7.57,-8.63,0,0.683,2.84,0.901,1.52,298,118,7,2455531.464,1750,0.206,4.78
2013 TP4,2026,2026,1,6.2e-5,25.3,27.5,0.011,-4.36,-4.36,0,0.76,1.88,0.451,6.32,189,73.4,19.6,2456520.089,943,0.382,3.31
2014 JU79,2026,2101,12,7.4e-9,6.25,23,0.083,-7.12,-7.69,0,0.239,1.21,0.922,5.96,357,54.8,177,2456544.012,487,0.74,1.5
2011 AZ36,2026,2114,144,3e-7,7.4,25.1,0.032,-6.78,-8.11,0,0.467,2,1.07,1.31,246,208,6.29,2455556.439,1030,0.348,2.94
2007 KE4,2026,2115,4,3e-6,10.09,25.2,0.031,-5.24,-5.33,0,0.574,2.39,1.02,9.37,65.1,194,356,2454259.413,1350,0.266,3.77
2010 XB,2027,2029,2,2.5e-7,19.67,29.6,0.004,-8,-8.25,0,0.653,1.78,0.616,1.49,248,92.6,165,2459805.04,864,0.417,2.93
1998 DK36,2027,2100,17,5.6e-7,6.19,25,0.034,-6.45,-6.48,0,0.416,0.692,0.404,2.02,151,180,183,2450971.788,210,1.71,0.98
2013 JA17,2027,2111,7,5.5e-9,9.72,19.1,0.51,-5.26,-5.37,0,0.362,1.92,1.23,3.57,64.8,310,199,2460636.754,975,0.369,2.62
2008 JL3,2027,2113,22,8.5e-5,8.42,25.3,0.029,-3.72,-3.73,0,0.547,2.15,0.976,0.892,40.4,156,312,2460354.463,1150,0.312,3.33
2010 WC9,2027,2115,16,4.5e-6,12.69,23.4,0.07,-4.01,-4.03,0,0.284,1.07,0.765,17.7,54.6,276,232,2460343.907,404,0.892,1.37
2016 VZ17,2027,2116,141,1.1e-6,9.71,27.3,0.012,-7.06,-7.89,0,0.519,1.93,0.929,0.917,10.5,352,11.6,2457666.061,980,0.367,2.93
2011 YC40,2028,2050,6,1.4e-6,10.94,29.7,0.004,-7.69,-7.84,0,0.42,1.44,0.833,6.44,96.1,299,26.5,2455879.162,629,0.572,2.04
2014 HE197,2028,2098,28,7.5e-9,16.56,25.5,0.026,-8.15,-9.13,0,0.578,2.12,0.894,3.17,185,102,340,2456834.282,1130,0.32,3.34
2013 GM3,2028,2114,159,1.5e-4,7.14,26.2,0.019,-4.61,-5.32,0,0.287,0.836,0.596,0.012,338,11,101,2460122.535,279,1.29,1.08
2016 DA31,2028,2116,184,1.3e-4,13.6,29.9,0.004,-6.1,-6.61,0,0.45,1.27,0.699,0.0224,339,268,321,2457503.714,523,0.689,1.84
2010 RK53,2029,2029,1,1.8e-8,8.23,27.8,0.009,-8.65,-8.65,0,0.314,1.35,0.924,6.1,346,311,28.9,2455407.563,571,0.63,1.77
2017 BL30,2029,2052,9,3.8e-4,7.16,23.3,0.073,-2.17,-2.17,0,0.238,1.13,0.863,2.85,311,283,97.1,2460081.636,441,0.817,1.4
2005 UL6,2029,2072,5,4.2e-7,12.02,24.5,0.042,-6.15,-6.51,0,0.614,2.53,0.978,0.283,272,84.2,10.2,2453639.831,1470,0.244,4.09
2015 DQ224,2029,2089,91,6.8e-5,14.59,29.4,0.005,-5.98,-6.73,0,0.527,0.779,0.369,11,149,215,96,2457005.483,251,1.43,1.19
2005 WG57,2029,2105,6,5.5e-7,9.88,23.6,0.063,-5.76,-6.18,0,0.493,1.8,0.912,0.427,162,212,154,2459823.47,880,0.409,2.68
2011 BA60,2029,2106,14,8.7e-9,14.69,22,0.137,-6.17,-6.43,0,0.545,1.94,0.883,11,119,34.2,351,2455616.187,986,0.365,2.99
2010 MZ112,2029,2110,186,8.6e-6,1.54,25.5,0.028,-5.25,-6.43,0,0.521,1.23,0.588,23.6,321,50.9,307,2455444.727,496,0.725,1.87
2016 PA79,2029,2116,13,1.4e-8,10.42,24.2,0.05,-7.5,-8.11,0,0.561,2.67,1.17,1.04,1.36,323,360,2457611.444,1590,0.226,4.16
2005 QK76,2030,2083,7,7.7e-5,19.66,25.2,0.031,-3.54,-3.72,0,0.518,1.4,0.674,22.9,338,266,36.2,2453552.809,603,0.597,2.12
