object_name,period_start,period_end,possible_impacts,cumulative_impact_probability,asteroid_velocity,asteroid_magnitude,asteroid_diameter_km,cumulative_palermo_scale,maximum_palermo_scale,maximum_torino_scale,eccentricity,semi_major_axis,perihelion_distance,inclination_angle_with_respect_to_x_y_ecliptic_plane,longitude_of_the_ascending_node,argument_of_perihelion,mean_anomaly,time_of_perihelion_passage,sidereal_orbital_period,mean_motion,aphelion_distance
2012 SY49,2031,2114,19,1.5e-5,15.65,25.8,0.023,-5.01,-5.27,0,0.557,1.53,0.677,1.19,5.91,84.4,263,2460386.648,689,0.522,2.38
2011 CF22,2031,2115,171,5.4e-5,18.81,30.9,0.002,-6.91,-7.73,0,0.675,1.96,0.635,1.07,138,276,16.7,2455553.225,999,0.36,3.28
2010 UE,2032,2044,2,1.1e-7,16.09,29.6,0.004,-8.66,-8.86,0,0.692,2.52,0.777,3.04,22.9,297,9.96,2455446.019,1460,0.246,4.27
2017 AF21,2032,2108,12,1.9e-8,8.2,25.1,0.033,-7.73,-8.36,0,0.37,1.8,1.13,2.48,204,243,284,2460387.138,883,0.408,2.47
2009 XR1,2032,2110,13,1.7e-7,6.01,29.3,0.005,-8.85,-9.27,0,0.407,1.63,0.965,0.473,258,208,349,2455199.69,760,0.474,2.29
2011 EB74,2032,2115,328,3.2e-4,7.55,26.9,0.014,-4.51,-5.45,0,0.176,0.933,0.769,10.6,356,301,255,2455731.296,329,1.09,1.1
2015 BY3,2033,2080,7,8e-7,16.56,27.5,0.011,-7.01,-7.47,0,0.553,1.42,0.635,2.91,289,92.9,75.7,2460070.746,617,0.583,2.2
2001 BA16,2033,2111,6,9.8e-6,4.9,25.8,0.023,-5.33,-5.38,0,0.137,0.94,0.811,5.77,115,243,48,2460156.086,333,1.08,1.07
2010 MA113,2033,2114,469,5.2e-6,3.06,23.4,0.078,-4.47,-5.35,0,0.668,2.69,0.894,41,310,25.9,347,2460258.258,1610,0.223,4.49
2011 CU46,2033,2115,420,1.8e-5,16.18,25.4,0.028,-4.91,-5.96,0,0.536,1.41,0.653,8.08,140,270,32.3,2455548.732,610,0.59,2.16
2011 YC63,2034,2039,2,2.9e-6,18.84,29,0.005,-6.83,-6.83,0,0.596,1.53,0.619,10.4,98.3,270,26.8,2455875.983,693,0.519,2.45
2015 BW516,2034,2081,8,4.3e-5,11.41,27.7,0.01,-5.54,-5.66,0,0.559,2.03,0.897,1.94,311,222,347,2457084.527,1060,0.34,3.17
2014 FE,2034,2081,11,3.1e-6,19.86,27.6,0.01,-6.31,-6.54,0,0.689,1.92,0.597,2.2,359,88.7,19.4,2456687.154,973,0.37,3.25
2008 CC71,2034,2082,23,1.2e-4,8.1,24.9,0.036,-3.95,-4.01,0,0.368,1.45,0.918,1.87,339,222,333,2454556.574,638,0.564,1.98
2010 VQ,2034,2114,56,1.3e-4,4.58,27.7,0.01,-5.24,-5.69,0,0.198,0.861,0.691,0.348,27.3,199,203,2460327.519,292,1.23,1.03
2011 AZ22,2034,2114,9,9.3e-7,12.52,28.6,0.006,-7.58,-7.7,0,0.576,2.05,0.87,7.37,110,312,11.7,2455537.602,1070,0.336,3.23
2011 SR52,2034,2115,4,7.6e-10,13.55,15.6,2.579,-4.35,-4.59,0,0.0776,2.75,2.54,4.01,187,101,298,2460488.401,1660,0.216,2.96
2010 KV7,2034,2115,56,3.9e-5,5.37,26,0.021,-4.96,-5.32,0,0.219,1.21,0.949,0.314,256,36.9,322,2455386.484,489,0.737,1.48
2012 VE77,2035,2035,1,2.4e-6,15.28,26.4,0.018,-5.77,-5.77,0,0.555,1.64,0.73,8.1,235,254,337,2456296.384,767,0.47,2.55
2004 XB45,2035,2035,1,3.9e-7,17.02,26.3,0.019,-6.48,-6.48,0,0.582,1.55,0.648,3.16,84.8,86.2,227,2460461.42,705,0.51,2.45
2016 AQ164,2035,2035,1,8.2e-8,13.9,29.9,0.004,-8.94,-8.94,0,0.578,1.92,0.809,5.3,290,121,15.7,2457358.361,969,0.372,3.02
2016 EO28,2035,2058,18,5.1e-4,6.98,29.1,0.005,-4.99,-5.02,0,0.306,1.29,0.894,2.43,159,306,85.5,2460073.733,534,0.674,1.68
2014 MR67,2035,2076,2,6.9e-10,9.72,23.7,0.062,-8.3,-8.35,0,0.209,1.21,0.954,26.1,88.7,275,268,2460323.744,484,0.744,1.46
2016 NJ56,2035,2079,10,5.5e-8,4.94,25.1,0.033,-7.16,-7.3,0,0.126,1.22,1.07,3.45,254,356,24,2457543.574,494,0.728,1.38
2007 DX40,2035,2114,34,3.9e-5,15.55,24.6,0.041,-4.08,-4.61,0,0.538,1.54,0.71,0.452,330,274,330,2454213.232,697,0.517,2.37
2005 UA1,2036,2036,1,6.4e-8,14.68,26.4,0.018,-7.38,-7.38,0,0.615,2.12,0.816,0.433,257,71.6,15.5,2453624.886,1130,0.319,3.43
2006 DO62,2036,2079,11,1.8e-6,11.01,28.3,0.007,-7.32,-7.67,0,0.507,1.9,0.938,1.45,335,216,350,2453818.305,959,0.375,2.87
2016 DY30,2036,2105,6,3.2e-7,15.64,30.5,0.003,-9.13,-9.23,0,0.511,1.12,0.547,0.767,157,250,189,2460405.857,432,0.834,1.69
2006 WV29,2036,2110,13,4.2e-6,16.77,26.5,0.017,-6.05,-6.64,0,0.559,1.38,0.609,1.2,75.3,82,327,2454118.234,592,0.608,2.15
2011 CL50,2036,2111,68,4.7e-5,3.51,27.6,0.01,-5.95,-6.85,0,0.146,0.883,0.754,0.191,355,309,240,2460301.482,303,1.19,1.01
1994 GV,2036,2115,53,1.6e-4,8.09,27.5,0.011,-5.14,-5.81,0,0.489,1.86,0.951,0.375,205,325,332,2460273.393,927,0.388,2.77
2014 HJ197,2036,2115,410,1.8e-5,4.51,30.2,0.003,-7.36,-7.9,0,0.168,1.02,0.85,0.83,215,256,84,2456683.519,377,0.955,1.19
2007 WW3,2037,2037,1,1.6e-10,10.28,23.8,0.06,-8.95,-8.95,0,0.66,3.18,1.08,6.44,51.2,344,3.62,2454402.68,2070,0.174,5.28
2009 WQ52,2037,2037,1,3.3e-9,14.76,28.2,0.008,-9.57,-9.57,0,0.661,2.57,0.874,5.78,61.3,49.1,352,2455194.34,1510,0.239,4.27
2014 GC49,2038,2038,1,2.3e-10,17.06,28.6,0.007,-10.84,-10.8,0,0.644,0.735,0.262,6.43,193,208,91.9,2460141.757,230,1.56,1.21
2004 RU109,2038,2053,5,4.3e-7,12.93,26.5,0.017,-6.81,-7.14,0,0.489,1.53,0.782,5.85,171,251,339,2460241.276,693,0.52,2.28
2013 EV27,2038,2070,4,2.5e-5,12.37,27,0.014,-5.19,-5.19,0,0.569,1.98,0.854,4.25,341,127,16,2456315.084,1020,0.353,3.11
2008 GY21,2038,2105,31,2.5e-7,11.1,27.6,0.01,-7.9,-8.32,0,0.38,1.09,0.674,1.55,197,262,341,2460222.41,414,0.87,1.5
2011 WN69,2038,2109,3,3.1e-7,23.03,26.2,0.019,-7.04,-7.27,0,0.78,2.51,0.553,6.04,243,89.5,11.4,2455847.309,1460,0.247,4.48
2014 HN199,2038,2110,14,1.1e-8,18.04,26.4,0.017,-8.34,-8.73,0,0.72,2.69,0.751,3.23,22.5,269,349,2456824.335,1610,0.224,4.62
2008 XU2,2039,2039,1,2.1e-7,9.93,25.6,0.026,-6.69,-6.69,0,0.617,2.45,0.939,2.96,62.4,334,312,2460389.728,1400,0.256,3.97
2014 HE199,2039,2039,1,2.4e-8,14.5,25,0.033,-7.24,-7.24,0,0.632,2.39,0.881,5.26,24.8,125,15.6,2456718.934,1350,0.266,3.91
2016 RQ41,2039,2089,3,1.5e-9,13.11,20,0.33,-6.44,-6.63,0,0.681,2.09,0.666,10.2,146,337,88.4,2459930.028,1100,0.327,3.51
2016 JN38,2039,2114,93,6.5e-6,19.51,29.1,0.005,-6.92,-7.8,0,0.682,1.93,0.612,4.45,42.1,89.6,19.1,2457460.584,977,0.369,3.24
2015 HZ182,2039,2115,8,4.1e-9,14.48,27,0.013,-9.09,-9.28,0,0.395,1.67,1.01,4.43,212,303,22.7,2457081.793,788,0.457,2.33
2017 AT20,2039,2116,297,4.5e-6,7.71,27.1,0.013,-6.57,-7.12,0,0.248,1.05,0.791,4.2,270,93.5,70.3,2457680.425,395,0.912,1.31
2012 WQ3,2040,2040,1,1.9e-9,23.77,25.4,0.028,-8.3,-8.3,0,0.767,2.36,0.549,3.25,52.4,271,13.6,2456203.508,1320,0.273,4.16
2012 UE,2040,2058,6,4.4e-7,13.23,28.4,0.007,-7.78,-8.04,0,0.574,1.9,0.81,1.15,28.1,59.3,343,2456261.453,959,0.376,3
2007 TX22,2040,2086,52,3.4e-5,8.87,28.4,0.007,-6.21,-7.02,0,0.436,1.59,0.899,1.78,20.3,46,341,2454422.963,735,0.49,2.29
2012 CU,2040,2100,4,9.7e-7,10.94,26,0.021,-6.64,-7.05,0,0.506,1.74,0.861,0.311,172,268,30.2,2460129.971,841,0.428,2.63
2007 DC,2040,2108,35,1.1e-5,6.71,27.5,0.011,-6.26,-6.87,0,0.326,1.35,0.913,0.41,175,278,30.7,2454102.461,576,0.625,1.8
2016 CK137,2040,2116,84,1.2e-4,9.86,27.4,0.011,-5.24,-5.91,0,0.346,1.17,0.767,0.794,315,95.4,40.1,2460148.746,464,0.775,1.58
2014 HN197,2041,2041,1,1.1e-10,8.92,21,0.21,-7.85,-7.85,0,0.775,2.85,0.641,4.09,268,171,36,2456596.756,1760,0.205,5.06
2005 GQ33,2041,2099,14,8.5e-9,20.8,23.7,0.063,-7.18,-7.96,0,0.729,2.33,0.631,1.55,73.5,36.6,14,2453416.885,1300,0.277,4.03
2008 EV84,2041,2106,4,5.6e-7,12.94,25.3,0.029,-6.1,-6.1,0,0.609,2.53,0.988,13,350,206,355,2454557.577,1470,0.245,4.07
2014 HY198,2041,2115,234,4.5e-5,6.52,29.6,0.004,-6.84,-7.41,0,0.198,1.1,0.879,2.5,227,74.8,299,2456847.953,419,0.858,1.31
2001 VM5,2042,2042,1,1.4e-8,9.18,24.9,0.036,-7.59,-7.59,0,0.586,2.42,0.999,5.85,232,169,2.45,2452217.171,1370,0.263,3.83
2007 VH189,2042,2045,3,2e-8,18.31,23.4,0.073,-6.45,-6.64,0,0.724,2.63,0.724,5.9,75.5,250,14.4,2454359.172,1550,0.232,4.53
1995 CS,2042,2073,9,7.1e-6,25.43,25.5,0.028,-4.73,-4.75,0,0.772,1.92,0.438,2.59,136,252,17.9,2449706.084,974,0.37,3.41
2015 KW157,2042,2096,6,6.8e-9,9.36,26,0.021,-8.69,-8.97,0,0.678,3.61,1.16,3.71,52.8,162,3.46,2457140.467,2500,0.144,6.05
2010 VW194,2042,2109,27,6.8e-5,7.31,26.5,0.017,-5.15,-5.68,0,0.466,1.82,0.972,2.02,50.8,340,84.5,2459989.662,898,0.401,2.67
2015 YJ,2042,2115,52,0.0018,16.35,28.3,0.007,-4.13,-4.36,0,0.523,1.26,0.603,0.12,264,79.4,202,2460428.131,519,0.694,1.92
2012 BY1,2043,2074,6,3.5e-6,18.2,25.8,0.024,-5.48,-5.59,0,0.675,2.13,0.694,0.477,323,236,345,2455994.397,1140,0.316,3.57
2013 HT14,2043,2077,4,2.3e-6,20.53,26.3,0.019,-6.05,-6.22,0,0.719,2.1,0.588,5.8,30.8,87.7,17.7,2456353.924,1110,0.325,3.6
2001 GP2,2043,2109,29,1.2e-4,2.58,26.9,0.014,-5.08,-5.52,0,0.0723,1.03,0.96,1.29,196,109,347,2460214.882,385,0.936,1.11
2006 SC,2043,2109,8,1.7e-6,12.21,25.2,0.031,-5.97,-6.53,0,0.35,1.11,0.723,10.4,351,265,227,2460359.133,429,0.839,1.5
2016 DK1,2043,2115,33,1.6e-4,6.87,27.3,0.012,-5,-5.47,0,0.331,1.36,0.912,0.767,336,126,295,2460304.938,581,0.62,1.81
2015 KH158,2043,2115,21,7e-8,14.5,26,0.021,-7.61,-8.03,0,0.524,2.02,0.964,4.96,252,42.7,345,2457211.747,1050,0.342,3.08
2017 CH1,2044,2044,1,2.3e-10,18.19,17.9,0.9,-5.76,-5.76,0,0.578,2.32,0.981,28.1,74.4,154,294,2460436.234,1290,0.278,3.67
2013 RO30,2044,2093,8,9.5e-5,9.26,28.4,0.007,-5.91,-6.03,0,0.487,1.92,0.984,8.35,162,157,284,2460406.533,971,0.371,2.85
2003 WT153,2044,2103,39,1.7e-5,4.41,28.1,0.008,-6.57,-6.77,0,0.178,0.893,0.734,0.37,56.4,148,43.9,2460162.912,308,1.17,1.05
2011 AM37,2044,2114,120,0.001,3.65,29.7,0.004,-5.43,-5.83,0,0.147,1.1,0.938,2.63,291,129,28.8,2460166.822,422,0.854,1.26
2011 AY22,2044,2115,31,2.6e-5,12.98,27.1,0.013,-5.78,-6.5,0,0.601,2.13,0.848,0.464,308,218,347,2455611.864,1130,0.318,3.41
2006 HX57,2045,2065,2,3.2e-6,10.53,25.2,0.031,-5.62,-5.63,0,0.493,1.8,0.913,0.201,109,162,38.5,2460106.034,883,0.408,2.69
2008 PK9,2045,2066,12,7.8e-7,26.44,23.2,0.078,-4.7,-5.1,0,0.725,1.64,0.451,27.4,318,108,336,2454739.223,765,0.471,2.82
2017 BG92,2045,2110,25,1.9e-5,5.31,28.6,0.006,-6.68,-7.06,0,0.258,1.25,0.929,0.35,337,98.7,294,2460294.759,512,0.704,1.57
2015 KG158,2045,2111,38,2.2e-4,7.69,28.3,0.007,-5.42,-5.48,0,0.277,1.14,0.823,2.23,54.1,97.5,1.14,2460199.092,444,0.812,1.45
2008 KN11,2046,2046,1,1.6e-8,13.83,23.3,0.075,-6.7,-6.7,0,0.529,1.71,0.805,5.27,89.3,246,273,2460397.472,816,0.441,2.61
2003 DW10,2046,2058,2,1.1e-7,7.83,26.1,0.02,-7.45,-7.61,0,0.361,1.45,0.924,2.19,342,221,270,2460358.493,635,0.567,1.97
2011 DU9,2046,2059,4,2.2e-4,8.77,26.7,0.016,-4.35,-4.36,0,0.515,1.94,0.939,3.42,155,328,245,2460515.783,984,0.366,2.93
2010 VN1,2046,2060,4,2.1e-6,10.99,28.3,0.007,-7.18,-7.33,0,0.466,1.63,0.871,3.36,40.6,307,81.3,2460028.695,760,0.473,2.39
2009 HW67,2046,2079,5,2.1e-6,22.63,26.1,0.02,-5.93,-6.23,0,0.751,2.05,0.51,2.35,216,260,17.1,2454899.596,1070,0.336,3.59
2009 VT1,2046,2081,3,2.6e-6,6.97,29.6,0.004,-7.76,-7.85,0,0.503,1.98,0.985,0.27,217,179,346,2460241.284,1020,0.353,2.98
2012 MF7,2046,2092,9,2.2e-4,8.7,26.8,0.015,-4.43,-4.47,0,0.383,1.47,0.909,1.97,90.7,128,121,2459980.874,654,0.55,2.04
2008 UA202,2046,2105,63,7.6e-5,2.3,29.4,0.004,-6.58,-7.35,0,0.0686,1.03,0.962,0.263,21.1,301,124,2460068.375,384,0.938,1.1
2015 VO142,2046,2110,15,3.7e-6,2.82,29,0.005,-7.72,-8.43,0,0.126,1.07,0.939,0.284,95.3,20.4,318,2460248.261,407,0.885,1.21
2008 DB,2046,2113,37,1.8e-5,6.97,25.7,0.025,-5.31,-6,0,0.233,1.05,0.808,4.22,141,275,202,2460373.614,395,0.911,1.3
2012 QD8,2047,2050,2,4.4e-6,20.76,23.1,0.081,-3.99,-4.03,0,0.698,1.91,0.577,5.58,349,87.8,39.3,2460095.15,966,0.373,3.25
2013 WM,2047,2105,2,5.7e-7,35.41,23.9,0.055,-5.18,-5.37,0,0.916,2.08,0.175,4.16,239,40.9,14.8,2456579.435,1100,0.328,3.99
2009 TD17,2047,2113,56,2.4e-5,6.57,27.7,0.01,-6.12,-6.9,0,0.22,1.13,0.879,0.0789,218,83.3,282,2460294.627,437,0.824,1.37
2005 VN5,2047,2114,29,5.7e-5,6.58,27,0.014,-5.41,-5.87,0,0.233,0.945,0.725,2.06,48.3,116,60.1,2460144.413,336,1.07,1.17
2008 ST,2047,2114,25,7e-5,3.24,27.1,0.013,-5.55,-5.83,0,0.126,0.964,0.843,1.91,189,291,186,2460367.54,346,1.04,1.09
2014 WZ365,2047,2114,7,7.8e-8,11,25.7,0.025,-7.45,-7.78,0,0.428,0.789,0.451,1.34,262,321,68,2460152.169,256,1.41,1.13
2010 UH,2047,2115,45,6.7e-5,6.74,27.1,0.013,-5.59,-5.72,0,0.308,1.36,0.943,0.631,295,40.1,28.9,2455444.936,581,0.62,1.78
2017 BO32,2048,2094,56,1.1e-5,8.76,24.6,0.041,-4.96,-5.65,0,0.239,1.14,0.87,11.3,317,74,217,2460377.676,446,0.806,1.42
2014 WA,2049,2049,1,1.4e-6,9.55,28.2,0.008,-7.28,-7.28,0,0.54,2.04,0.941,4.82,53.8,32.1,358,2460206.177,1070,0.337,3.15
2002 CB19,2049,2049,1,1.9e-8,15.73,24.8,0.038,-7.31,-7.31,0,0.452,1.28,0.703,17.1,318,88.8,347,2460220.174,531,0.678,1.86
2008 KO,2049,2052,2,1.4e-6,23.49,24.4,0.045,-5.09,-5.38,0,0.738,2.16,0.565,14.7,73.3,270,344,2454665.575,1160,0.311,3.75
2009 WJ6,2049,2056,2,1.8e-8,18.16,27.6,0.01,-8.67,-8.7,0,0.633,1.77,0.648,5.04,238,263,297,2460350.693,858,0.42,2.89
2008 UB7,2049,2100,33,6.6e-5,18.47,23.9,0.057,-3.45,-3.76,0,0.594,1.24,0.501,2.02,220,288,318,2454827.04,502,0.718,1.97
2014 AG51,2049,2110,9,1.8e-6,14.82,30,0.003,-8.06,-8.09,0,0.591,1.88,0.767,0.0922,145,258,292,2460377.454,938,0.384,2.98
2013 HT150,2049,2113,75,1.6e-5,14.34,25.4,0.028,-5.08,-5.62,0,0.539,1.57,0.722,2.78,27.2,76,152,2459898.458,717,0.502,2.41
2010 JL88,2049,2115,87,5.5e-5,14.87,26.8,0.015,-5.18,-5.76,0,0.504,1.43,0.708,0.0942,267,53.3,273,2460350.939,622,0.579,2.14
2008 LD,2049,2115,59,8.9e-5,4.13,28.9,0.006,-6.33,-7.17,0,0.155,0.892,0.754,6.54,251,202,202,2460335.072,307,1.17,1.03
2013 UR1,2050,2050,1,1.7e-6,21.69,27.8,0.009,-6.67,-6.67,0,0.73,2.23,0.601,2.7,30.3,272,14.9,2456542.087,1210,0.296,3.85
2010 DG1,2050,2050,1,1.4e-8,17.96,24.4,0.044,-7.23,-7.23,0,0.652,1.93,0.672,1.52,314,105,21.6,2455187.687,980,0.367,3.19
2013 RR43,2050,2057,2,1.4e-7,18.99,25.4,0.028,-6.7,-6.79,0,0.639,1.76,0.634,2.01,165,93.2,23.4,2456494.212,852,0.423,2.88
2015 EO,2050,2077,6,7.1e-6,14.25,26.6,0.016,-5.9,-6.13,0,0.462,1.3,0.699,4.51,350,271,228,2460398.571,541,0.666,1.9
2008 YC29,2050,2114,28,5.4e-7,10.79,25.4,0.028,-6.78,-7.04,0,0.397,0.864,0.521,3.26,94.2,138,267,2454905.916,293,1.23,1.21
2011 BL45,2050,2115,51,5e-4,1.68,27.2,0.013,-4.7,-4.85,0,0.021,1.04,1.02,3.05,135,155,178,2460009.17,386,0.932,1.06
2015 XR169,2050,2115,122,3.6e-4,9.54,28.8,0.006,-5.32,-5.62,0,0.346,1.22,0.795,0.043,263,253,241,2460361.749,490,0.735,1.64
2006 BC8,2050,2115,24,4.7e-6,13.18,25.1,0.032,-5.56,-6.17,0,0.432,1.23,0.697,6.89,303,91.2,33.7,2460154.028,496,0.725,1.76
2011 EC,2051,2051,1,8.9e-8,6.83,25.6,0.026,-7.34,-7.34,0,0.364,1.51,0.957,1.08,168,33.5,265,2460378.849,675,0.533,2.05
2010 QG2,2051,2064,5,2.1e-6,12.88,24.2,0.048,-5.15,-5.2,0,0.516,1.67,0.807,4.7,343,64.8,356,2460208.936,786,0.458,2.53
2012 LJ,2051,2072,2,3.5e-6,18.69,25.6,0.026,-5.57,-5.6,0,0.699,2.32,0.699,0.688,239,96.5,50.6,2460018.484,1290,0.278,3.95
1994 GK,2051,2073,6,4.8e-5,14.87,24.2,0.048,-3.82,-3.83,0,0.604,1.95,0.772,5.66,15.4,112,17.2,2449403.789,997,0.361,3.13
2011 BG10,2051,2074,4,2.2e-6,12.29,26.3,0.019,-6.13,-6.39,0,0.619,2.49,0.95,3.37,125,37.9,353,2455616.935,1430,0.251,4.03
2016 RD34,2051,2093,25,0.0019,1.14,27.5,0.011,-4.17,-4.51,0,0.0347,1.05,1.01,1.96,350,11,185,2460390.389,391,0.921,1.08
2011 SE58,2052,2055,2,2.3e-8,15.68,27.6,0.01,-8.68,-8.8,0,0.612,1.89,0.736,1.21,5.36,70.8,195,2460637.694,952,0.378,3.05
2015 GB1,2052,2090,4,3.1e-7,7.29,26.6,0.016,-7.42,-7.81,0,0.439,1.75,0.985,2.41,27.6,200,215,2460541.143,848,0.424,2.52
2011 BT59,2052,2091,3,1.1e-7,37.84,20.8,0.24,-4.21,-4.22,0,0.945,2.49,0.137,3.67,36.2,306,92.6,2459830.829,1440,0.25,4.85
2008 YO2,2052,2114,46,5.5e-6,16.48,25.2,0.031,-5.36,-5.9,0,0.588,1.67,0.686,1.42,92.8,78.1,337,2454873.153,786,0.458,2.65
2014 GQ17,2052,2115,83,5.6e-5,5.42,27.1,0.013,-5.55,-6.65,0,0.247,0.854,0.643,0.0914,79.6,330,113,2460109.871,288,1.25,1.06
2005 VP,2053,2094,12,9.3e-8,12.86,25.5,0.027,-7.15,-7.56,0,0.593,2.36,0.96,5.5,223,134,9.98,2453641.863,1320,0.273,3.75
2002 RB182,2053,2110,9,8.8e-7,14.75,22.8,0.092,-5.19,-5.23,0,0.65,2.55,0.89,0.228,166,254,347,2452584.271,1480,0.243,4.2
2015 WN1,2053,2114,74,1.2e-4,8.88,26.5,0.017,-4.9,-5.68,0,0.371,1.41,0.886,0.504,232,125,273,2460348.738,612,0.589,1.93
2007 DS7,2053,2114,19,1.9e-5,12.39,25.8,0.023,-5.27,-5.52,0,0.4,1.18,0.708,8.45,149,271,48.7,2454091.122,468,0.769,1.65
2011 FQ6,2053,2115,28,4.8e-5,10.5,27.7,0.01,-5.8,-5.97,0,0.352,0.98,0.635,5.16,183,246,22,2460178.848,354,1.02,1.32
2012 HG2,2053,2116,318,0.002,3.32,27,0.014,-3.94,-4.37,0,0.182,1.19,0.973,0.114,145,25,313,2460262.713,474,0.76,1.41
2012 ES10,2054,2064,7,1.4e-6,24.36,23.7,0.061,-4.81,-5.13,0,0.757,1.89,0.458,6.82,347,72.9,25,2455940.704,946,0.381,3.31
2016 GS134,2054,2070,2,3.6e-7,11.02,27.9,0.009,-7.84,-8.01,0,0.531,1.87,0.877,0.0886,46.5,95,344,2460240.791,933,0.386,2.86
1996 TC1,2054,2072,4,1.2e-6,24.01,23.9,0.055,-5.08,-5.11,0,0.719,1.86,0.523,14.5,5.01,259,23,2450304.269,926,0.389,3.2
2005 TK50,2054,2106,2,1.5e-7,20.62,28.9,0.006,-8.66,-8.68,0,0.677,2.19,0.706,6.05,16.4,74.5,346,2453697.92,1180,0.305,3.67
2016 BA15,2054,2108,14,1.7e-5,15.88,26.8,0.015,-5.46,-5.57,0,0.551,1.54,0.693,1.44,115,96.9,325,2460269.007,700,0.514,2.39
2011 EM40,2054,2113,16,1.3e-6,10.69,28,0.009,-7.44,-8.01,0,0.371,1.15,0.723,0.556,174,263,99.7,2460075.587,451,0.799,1.58
2013 XT23,2055,2069,2,1e-9,8.42,24.7,0.039,-8.88,-8.94,0,0.5,2.17,1.08,1.8,246,179,5.21,2456621.67,1160,0.309,3.25
2011 TO,2055,2076,5,9.3e-6,8.55,26.3,0.019,-5.73,-5.74,0,0.28,0.927,0.667,2.24,185,57.6,241,2460308.062,326,1.1,1.19
2014 HS197,2055,2100,9,3.4e-7,16.97,29.4,0.004,-8.38,-8.49,0,0.683,2.36,0.746,6.7,213,288,12.6,2456725.222,1320,0.273,3.97
2007 HB15,2055,2112,33,1.5e-4,6.35,27.8,0.01,-5.27,-5.35,0,0.256,1.26,0.934,1.12,33.9,229,208,2460417.424,514,0.7,1.58
2009 BF58,2055,2115,27,5.4e-5,6.68,27.2,0.012,-5.67,-6.07,0,0.378,1.51,0.942,0.984,303,145,328,2460261.701,680,0.529,2.08
2014 LJ,2055,2115,39,1.5e-5,3.61,28.5,0.007,-6.9,-7.82,0,0.141,1.08,0.929,0.905,70.9,97.7,169,2460007.782,411,0.876,1.23
2016 NL39,2055,2116,85,4.4e-4,3.93,27.6,0.01,-4.92,-5.48,0,0.247,1.34,1.01,0.79,282,342,235,2460397.303,568,0.634,1.67
2011 XC2,2056,2056,1,2.5e-6,20.75,23,0.085,-4.3,-4.3,0,0.581,2,0.839,28.8,70.6,307,70.1,2459999.07,1030,0.348,3.16
1999 RZ31,2056,2056,2,1.2e-6,8.2,23.8,0.059,-5.35,-5.42,0,0.601,2.58,1.03,2.97,163,180,1.42,2451427.516,1520,0.237,4.14
2016 CD30,2056,2070,7,5.3e-5,10.53,27.7,0.01,-5.62,-5.66,0,0.497,1.77,0.891,5.86,132,314,17.5,2457385.761,860,0.419,2.65
2016 EV84,2056,2080,3,2.4e-6,7.41,26.8,0.015,-6.69,-6.77,0,0.178,0.866,0.712,13.6,351,16.1,270,2460274.112,295,1.22,1.02
2007 XZ9,2056,2089,3,1.1e-6,13.01,24.8,0.037,-5.89,-5.94,0,0.586,2.04,0.845,3.04,248,126,15.6,2454398.251,1070,0.338,3.24
2011 SO189,2056,2090,12,1e-4,12.98,26.5,0.017,-4.74,-5.15,0,0.567,2,0.865,4.45,2.38,307,15.4,2455791.517,1030,0.349,3.13
1979 XB,2056,2113,5,9.9e-7,23.63,18.6,0.657,-2.75,-3.07,0,0.708,2.23,0.65,24.7,86.1,75.6,346,2444267.667,1210,0.296,3.81
2013 PG10,2056,2113,7,8.3e-6,6.87,27.7,0.01,-6.56,-6.66,0,0.227,1.08,0.834,0.106,3.85,211,80.7,2460108.807,409,0.88,1.32
2012 EP10,2056,2115,39,9.5e-5,2.78,29.2,0.005,-6.45,-6.7,0,0.116,1.05,0.929,1.03,348,106,312,2460252.58,393,0.916,1.17
2011 UL169,2057,2073,6,1.4e-5,9.35,28.3,0.007,-6.45,-6.51,0,0.378,1.46,0.909,6.81,212,133,284,2460335.929,645,0.558,2.01
2017 BY93,2057,2079,6,3.4e-6,19.03,23.1,0.08,-4.29,-4.34,0,0.586,1.3,0.538,4.37,156,103,115,2460027.779,542,0.665,2.06
2015 BE511,2057,2103,5,6.4e-5,9.88,28.7,0.006,-6.08,-6.19,0,0.628,2.61,0.971,0.367,126,333,24.5,2460095.878,1540,0.234,4.25
2009 JL2,2057,2113,10,3.6e-6,12.83,26,0.022,-5.99,-6.45,0,0.472,1.85,0.979,17.9,52.9,205,234,2460522.595,923,0.39,2.73
2014 HK197,2057,2115,16,3.3e-9,18.05,26.7,0.015,-9.28,-10.2,0,0.636,2.25,0.821,5.55,31.6,254,344,2456825.88,1240,0.291,3.69
2009 CZ1,2058,2102,3,1.1e-6,17.81,24.4,0.044,-5.48,-5.63,0,0.661,2.25,0.765,2.2,150,66.3,344,2454921.187,1240,0.291,3.74
2007 UD6,2058,2106,63,9e-5,5.99,28.3,0.007,-5.9,-6.79,0,0.242,1.23,0.933,1.69,206,132,257,2460343.34,499,0.721,1.53
2015 HE183,2058,2110,34,4.5e-6,13.75,28.3,0.008,-6.94,-7.42,0,0.617,2.19,0.838,3.13,213,300,225,2460643.587,1180,0.304,3.54
2009 FJ,2058,2111,5,1.4e-6,8.94,24.9,0.036,-5.86,-5.93,0,0.568,2.2,0.951,0.887,354,151,158,2459674.525,1200,0.301,3.46
